ID,Molecule,Name,Type,Function,Covalent,Bond
7gmm,RL8,4-[2-(3-chlorophenyl)acetamido]-N-methylisoquinoline-6-carboxamide,non-polymer,,No,
7gmm,DMS,DIMETHYL SULFOXIDE,Discarded,,,
7gmm,CL,CHLORIDE ION,Discarded,,,
8p87,X77,N-(4-tert-butylphenyl)-N-[(1R)-2-(cyclohexylamino)-2-oxo-1-(pyridin-3-yl)ethyl]-1H-imidazole-4-carboxamide,non-polymer,,No,
8p87,ACT,ACETATE ION,Discarded,,,
8p87,EDO,"1,2-ETHANEDIOL",Discarded,,,
8p87,CL,CHLORIDE ION,Discarded,,,
8p87,NA,SODIUM ION,Discarded,,,
5rh7,UJ1,N-(5-tert-butyl-1H-pyrazol-3-yl)-N-[(1R)-2-[(2-ethyl-6-methylphenyl)amino]-2-oxo-1-(pyridin-3-yl)ethyl]propanamide,non-polymer,,Yes,CYS145 A
5rh7,DMS,DIMETHYL SULFOXIDE,Discarded,,,
7ggo,P3L,"(4R)-6-chloro-N-[(4R)-2-oxopiperidin-4-yl]-3,4-dihydro-2H-1-benzopyran-4-carboxamide",non-polymer,,No,
7ggo,DMS,DIMETHYL SULFOXIDE,Discarded,,,
8eoy,WOH,benzyl {(2S)-1-[2-(3-amino-3-oxopropyl)-2-(chloroacetyl)hydrazinyl]-4-methyl-1-oxopentan-2-yl}carbamate (non-preferred name),non-polymer,,Yes,CYS145 A; CYS145 B
7gd9,LXF,"N-{4-[(2-phenylethyl)sulfamoyl]-1,3-benzothiazol-2-yl}acetamide",non-polymer,,Yes,CYS145 A
7gd9,DMS,DIMETHYL SULFOXIDE,Discarded,,,
7sfb,90U,"benzyl (1R,2S,5S)-2-({(2S,3R)-4-amino-3-hydroxy-4-oxo-1-[(3S)-2-oxopyrrolidin-3-yl]butan-2-yl}carbamoyl)-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-3-carboxylate",non-polymer,,Yes,CYS145 A
7sfb,PGE,TRIETHYLENE GLYCOL,Discarded,,,
7sfb,PEG,DI(HYDROXYETHYL)ETHER,Discarded,,,
8gfn,ZGI,"(1R,2S,5S)-N-{(2S)-1-(1,3-benzothiazol-2-yl)-1-oxo-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-3-[N-(tert-butylcarbamoyl)-3-methyl-L-valyl]-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide",non-polymer,,No,
7mb1,YVJ,4-fluoro-D-phenylalanyl-N-{(2R)-5-ethoxy-5-oxo-1-[(3S)-2-oxopyrrolidin-3-yl]pentan-2-yl}-L-phenylalaninamide,non-polymer,,Yes,CYS145 A; CYS145 B
7buy,JRY,hexylcarbamic acid,non-polymer,,Yes,CYS145 A
7buy,DMS,DIMETHYL SULFOXIDE,Discarded,,,
7aqi,QEL,"4-[(1R,2S)-2-(4-benzylpiperidin-1-yl)-1-hydroxypropyl]phenol",non-polymer,,No,
7aqi,DMS,DIMETHYL SULFOXIDE,Discarded,,,
7aqi,IMD,IMIDAZOLE,Discarded,,,
7ak4,CB1,"5-(AZIRIDIN-1-YL)-2,4-DINITROBENZAMIDE",non-polymer,,Yes,MET165 A
7ak4,DMS,DIMETHYL SULFOXIDE,Discarded,,,
7ak4,CL,CHLORIDE ION,Discarded,,,
7tq5,IRW,"(1S,2S)-1-hydroxy-2-{[N-({[(1R,2R)-2-(4-methoxyphenyl)cyclopropyl]methoxy}carbonyl)-L-leucyl]amino}-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",non-polymer,"
",Yes,CYS145 A; CYS145 B
7tq5,CL,CHLORIDE ION,Discarded,"
",,
7tq5,ITX,"(1R,2S)-1-hydroxy-2-{[N-({[(1R,2R)-2-(4-methoxyphenyl)cyclopropyl]methoxy}carbonyl)-L-leucyl]amino}-3-[(3S)-2-oxopyrrolidin-3-yl]propane-1-sulfonic acid",non-polymer,"
",Yes,CYS145 A; CYS145 B
7tq5,PG4,TETRAETHYLENE GLYCOL,Discarded,"
",,
7gd2,M26,"N-[(1R)-1-(3-bromophenyl)-2-methoxyethyl]-2-[(3S)-5-fluoro-2-oxo-2,3-dihydro-1H-indol-3-yl]acetamide",non-polymer,,No,
7gd2,DMS,DIMETHYL SULFOXIDE,Discarded,,,
8huv,7YY,"6-[(6-chloranyl-2-methyl-indazol-5-yl)amino]-3-[(1-methyl-1,2,4-triazol-3-yl)methyl]-1-[[2,4,5-tris(fluoranyl)phenyl]methyl]-1,3,5-triazine-2,4-dione",non-polymer,,No,
7s3k,Z26,2-(5-chloro-2-methoxyphenyl)-N-(isoquinolin-4-yl)acetamide,non-polymer,,No,
7uub,7VB,N-[(benzyloxy)carbonyl]-L-valyl-N-{(2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-4-methylidene-L-norvalinamide,non-polymer,,Yes,CYS145 A
7uub,DMS,DIMETHYL SULFOXIDE,Discarded,,,
7ltn,YCV,"2-[4-(1~{H}-indazol-4-yl)-2-methanoyl-6-methoxy-phenoxy]-~{N},~{N}-dimethyl-ethanamide",non-polymer,,Yes,CYS145 A
